Name,Main Stats,MS Min,MS Max,Secondary Stats,SS Min,SS Max,Quality,Category 1,Category 2,Category 3,Cooldown,Rage Cost,Ability Name,Ability Description,Ability Upgrade,Description RP (Maybe too much ?,
Sorland's Blade,Cavalry Unit ATK,"5,0","24,0",Legion March Speed,4,18,legendary,Cavalry,PvP,Assault,1m30,600,Sword Oath,"Deals damage to up to 2 enemy Legions in a designated arc.

Damage Type: Artifact Skill Damage (Physical)
Damage Factor: 1600

Targets take 25% less damage per additional target.

Your Legion gains Haste: March Speed +20% for 10s.",Skill Damage Factor: 1600/2000/2400/2800/3200,"Since the age of the Heptarchy, House Sorland's Blade has had only one mission--to guard and protect bringing glory to the Sons of the Stag.", 
Dragonrift,Infantry Unit ATK,"5,0","24,0",Legion ATK,4,22,legendary,Infantry,PvP,Assault,1m30,400,Dragon Tamer,"Deals damage to the selected Legion.
Damage Type: Artifact Skill Damage (Physical)
Damage Factor: 2000

If this Skill defeats the target, your Legion gains Physical Keen: Physical ATK +16% for 6s

If this Skill does not defeat the target, they gain Bleed: deals damage every second for 3s.
Damage Type: Artifact Skill Damage (Physical)
Damage Factor: 150","Skill Damage Factor: 2000/2500/3000/3500/4000
Physical ATK bonus: 16%/20%/24%/28%/32%
Skill Damage Factor: 150/200/250/300/350",/, 
Ancient Tree Roots,Legion Load Capacity,"7,5","24,5",Legion HP,4,17,legendary,Gathering,/,/,2m,0,Geomancy,"After a short charge-up, teleports your Legion to a random unmanned high-level Resource Point within range.
Moving, being attacked, or gaining control effects interrupts.charge-up.",Cooldown (seconds): 120/100/80/60/30,/, 
Kurrata's Wrath,Peacekeeping Damage,"8,0","26,0",Legion ATK,4,22,legendary,Peacekeeping,/,/,1m30,0,Wolf Pack,"Grants a buff to up to 10 friendly Legions in a designated circle.
Buff Effect: Damage dealt to Darklings and Dark Creatures +20% for 10s.",Damage dealth during Peacekeeping bonus: 20%/25%/30%/35%/40%,/, 
Bloodblade Banner,Rallied Army ATK,"5,0","24,0",Legion DEF,4,22,legendary,Rally,Assault,/,0,0,Warrior Spirit,"While in battle, your Rallied Army deals damage and gains Physical Keen every 30s.

Damage Type: Artifact Skill
Damage (Physical): 650

Physical Keen: Physical ATK +5% for 10s.","Skill Damage Factor: 650/800/950/1100/1300
Physical ATK bonus: 5%/6%/7%/8.5%/10%",/, 
Tear of Arbon,Magic Unit DEF,"5,0","24,0",Legion DEF,4,22,legendary,Magic,PvP,Support,1m30,1 600,Divine Mercy,"Heals lightly wounded units once every 2s.
Casts on up to 4 friendly Legions in a designated circle.

Healing Factor: 400
Healing Duration: 8s",Healing Factor: 400/500/600/700/800,/, 
Phoenix Eye,Magic Unit ATK,"5,0","24,0",Legion ATK,4,22,legendary,Magic,PvP,Assault,1m30,1 600,Burst Strike,"Deals damage to up to 4 enemy Legions in a designated circle.

Damage Type: Artifact Skill Damage (Magic)
Damage Factor: 2000

Legions take 15% less damage per additional target.","Skill Damage Factor: 2000/2500/3000/3500/4000
Max targets: 4/4/4/4/5",/, 
Fang of Ashkari,Legion DEF,"5,0","24,0",Legion DEF,4,22,legendary,All-Rounder,PvP,Tank,1m30,400,Thundershadow,"Sets a circle fixed at your Legion's location when cast.
Deals damage every 2s to up to 4 enemy Legions within the circle.

Damage Type: Artifact Skill Damage (Physical/Magic)
Damage Factor: 500
Duration: 8s.

Target take 15% less damage per additional target.",Skill Damage Factor: 500/600/700/850/1000,/, 
Heart of Kamasi,Marksman Unit DEF,"5,0","24,0",Legion DEF,4,22,legendary,Marksman,PvP,Support,1m30,1 200,Earthen Judgment,"Grants your Legion and 2 nearby friendly Legions:

1) Physical Keen: Physical ATK +15%
2) Onslaught: normal attack damage dealt +15%
Duration: 10s

Only takes effect when leading a Marksman Legion.","Physical ATK bonus: 15%/18%/22%/26%/30%
Normal attack damage bonus: 15%/18%/22%/26%/30%",/, 
Wolf-Woman of Haelor,Cavalry Unit HP,"5,0","20,0",Legion HP,4,17,legendary,Cavalry,Mobility,/,1m30,0,Wolfshadow,"Immediately teleports your Legion to a selected empty area.

Range: 15

Legion returns to their original position when the Skill is cast again, or 15s after casting.",Range: 15/17/19/21/24,/, 
Shadowblades,Marksman Unit ATK,"5,0","24,0",Legion ATK,4,22,legendary,Marksman,PvP,Assault,1m30,1 200,Shadow Games,"Deals damage to up to 5 enemy Legions in a designated rectangle.

Damage Type: Artifact Skill Damage (Physical)
Damage Factor: 1800

Target take 15% less damage per additional target.",Skill Damage Factor: 1800/2200/2600/3000/3600,/, 
Springs of Silence,Infantry Unit ATK,"5,0","24,0",Legion ATK,4,22,legendary,Infantry,PvP,Assault,1m30,400,Fleeting Beauty,"Deals Artifact Skill damage to up to 3 enemy Legions in a designated arc (Physical Damage Factor 3,200).
Each additional target reduces the damage dealt to each target by 15%.
Legions that take damage also gain Slow, reducing their March Speed by 20% for 19s.",Skill Damage Factor: 1600/2000/2400/2800/3200,/, 
